Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2018-07-13 07:00:00,0,93,93,58,11,9.8,18.2,11.6,0,12
2018-07-16 07:00:00,1,96,96,54,10.4,8.8,17,10.8,5.4,12.2
2018-07-17 07:00:00,1,85,85,71,9.6,9.4,17.4,11,1.6,12.2
2018-07-18 07:00:00,0,93,93,68,10,10.2,17.2,10.6,0,11
2018-07-23 07:00:00,1,95,95,58,8.2,7.2,18.8,8.6,7.2,9
2018-07-24 07:00:00,1,95,95,75,10.2,9.2,16.4,10.6,2.8,10.2
2018-07-25 07:00:00,1,95,95,56,7.2,6.2,19.6,7.6,1.5,11
2018-07-26 07:00:00,0,85,85,63,10.6,8.8,18,12,0,13.6
2018-07-27 07:00:00,1,83,83,53,10.2,8,17.2,11.8,6.2,12.4
2018-07-30 07:00:00,0,85,85,56,10.2,9.4,20.6,11.6,0,11.8
2018-07-31 07:00:00,1,95,95,66,10,9.8,17.4,10.4,1.6,10.2
2018-08-01 07:00:00,1,98,98,63,8.6,7.2,18,8.8,3.8,9
2018-08-02 07:00:00,0,91,91,56,9.8,9.4,19.2,10.6,0,10.8
2018-08-03 07:00:00,0,93,93,56,8.4,7,20.2,9,0,9
2018-08-08 07:00:00,0,91,91,61,9,7,17.4,9.8,0,11.8
2018-08-09 07:00:00,0,85,85,61,9.4,10.2,17.6,10.8,0,11.4
2018-08-10 07:00:00,0,74,74,44,8.6,9.8,18.2,11,0,11.2
2018-08-13 07:00:00,1,93,93,66,9.8,7.6,19.2,10.4,3.8,12.8
2018-08-14 07:00:00,0,93,93,64,9.4,9.2,17,10,0,14.2
2018-08-15 07:00:00,0,93,93,52,10.4,8.8,18.2,11,0,12.8
2018-08-16 07:00:00,1,94,94,48,2.6,2.2,19,3,1.2,7
2018-08-17 07:00:00,0,93,93,72,8.4,3.6,17,9,0,11.2
2018-08-21 07:00:00,1,90,90,68,6.6,6.8,18.6,7.4,4.8,8
2018-08-22 07:00:00,0,87,87,54,9.6,8.4,18,10.8,0,11.2
2018-08-23 07:00:00,1,95,95,62,8.8,6.6,18.4,9.2,1.4,9.6
2018-08-24 07:00:00,0,93,93,55,9.4,8.8,18.6,10,0,10.2
2018-08-27 07:00:00,0,93,93,54,10.6,8.2,16.8,11.2,0,12
2018-08-28 07:00:00,0,92,92,62,6,5.2,17.6,6.6,0,6
2018-08-29 07:00:00,1,95,95,63,10,6.8,18,10.4,4.2,10.8
2018-08-30 07:00:00,1,93,93,63,9.6,9,18.2,10.2,1.2,10.6
2018-08-31 07:00:00,0,95,95,58,7,6,18,7.4,0,8
2018-09-01 07:00:00,0,95,95,69,7.2,4.4,19.8,7.6,0,11.8
2018-09-03 07:00:00,0,91,91,58,9.8,5.8,20.2,10.6,0,13.8
2018-09-04 07:00:00,0,87,87,54,10.8,11,18.4,12,0,13
2018-09-05 07:00:00,1,81,81,56,10.4,10.2,19.6,12.2,4.4,12.2
2018-09-07 07:00:00,1,93,93,64,10.6,10.6,17.6,11.2,13.5,11
2018-09-11 07:00:00,0,91,91,66,11.4,10.8,18,12.2,0,12.2
2018-09-12 07:00:00,1,91,91,57,9.4,9,19,10.2,2.2,10.8
2018-09-13 07:00:00,1,98,98,60,11.4,10.2,19.2,11.6,10.7,11.4
2018-09-14 07:00:00,1,95,95,64,10.2,8.8,19,10.6,7,10.4
2018-09-18 07:00:00,0,93,93,55,9,7.8,21.2,9.6,0,10.6
2018-09-19 07:00:00,0,93,93,55,7.4,5.2,19.4,8,0,9.4
2018-09-20 07:00:00,0,87,87,49,10.4,9.2,19.8,11.6,0,11.8
2018-09-21 07:00:00,0,92,92,50,6.8,4.6,20.8,7.4,0,8.4
2018-09-25 07:00:00,1,93,93,54,8.4,5.8,19.2,9,0.8,9
2018-09-26 07:00:00,0,93,93,59,10.2,8.2,19.6,10.8,0,12.2
2018-09-27 07:00:00,0,85,85,53,10,9.8,19,11.4,0,10.6
2018-09-28 07:00:00,0,93,93,55,9.6,8.8,19.6,10.2,0,11.8
2018-10-02 07:00:00,0,95,95,48,9.6,9,21.4,10,0,11.6
2018-10-03 07:00:00,1,93,93,58,8.6,6.8,21.6,9.2,1.2,10.8
2018-10-04 07:00:00,0,91,91,59,10.4,9.6,20.8,11.2,0,11.4
2018-10-05 07:00:00,0,95,95,62,8.8,8.2,20.4,9.2,0,11
2018-10-09 07:00:00,1,91,91,47,11.2,10.8,20.2,12,6.4,12.8
2018-10-10 07:00:00,1,96,96,70,11.4,11,19.8,11.8,1.5,12.8
